Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId
"Ji-hwan Oh 오지환","Twins (KBO)",32,73,260,289,64,42,10,1,11,35,38,23,2,49,3,1,2,5,10,2,0.24615385,"kr3013245"
"Eun-seong Chae 채은성","Twins (KBO)",32,61,227,256,67,48,13,1,5,21,42,14,0,37,9,6,0,5,2,3,0.29515419,"kr3013253"
"Soo-bin Jung 정수빈","Bears (KBO)",31,68,206,230,48,40,5,3,0,33,21,19,0,30,0,1,4,0,13,3,0.23300971,"kr3013258"
"Dong-won Park 박동원","- - -",32,62,199,232,46,24,14,0,8,28,27,23,2,44,6,1,3,5,1,0,0.23115578,"kr3013271"
"Ji-young Lee 이지영","Heroes (KBO)",36,69,209,227,50,40,7,3,0,16,19,14,1,24,0,0,4,5,0,0,0.23923445,"kr3013276"
"Chi-hong An 안치홍","Giants (KBO)",31,68,273,303,83,54,17,2,10,45,36,26,3,25,1,2,1,7,2,2,0.3040293,"kr3013286"
"Gweon-su An 안권수","Bears (KBO)",29,58,182,205,61,53,6,2,0,38,18,22,0,32,0,0,1,3,2,4,0.33516484,"kr3014276"
"Ji-chan Kim 김지찬","Lions (KBO)",21,57,200,233,56,46,6,4,0,36,17,24,0,31,0,1,8,0,19,0,0.28,"kr3014279"
"Ji-hoon Choi 최지훈","Landers (KBO)",24,74,285,326,87,63,17,3,4,49,28,27,0,44,5,3,6,3,15,3,0.30526316,"kr3014282"
"Jose Pirela 피렐라","Lions (KBO)",32,70,270,308,91,63,13,3,12,47,48,31,8,32,7,0,0,11,7,2,0.33703704,"kr3014752"
"Bo-gyeong Moon 문보경","Twins (KBO)",21,59,180,200,55,41,11,0,3,20,21,17,0,29,1,2,0,3,1,0,0.30555556,"kr3015048"
"Socrates Brito 소크라테스","Tigers (KBO)",29,72,290,313,98,63,18,6,11,52,46,21,4,48,1,1,0,6,8,3,0.33793103,"kr3018060"
"Kevin Cron 크론","Landers (KBO)",29,62,235,250,53,28,13,1,11,21,35,8,0,63,3,4,0,3,0,0,0.22553191,"kr3018062"
"Nicholas Martini 마티니","Dinos (KBO)",32,71,259,295,77,47,19,1,10,28,44,28,3,49,4,4,0,5,3,1,0.2972973,"kr3018063"
"Michael Tauchman 터크먼","Eagles (KBO)",31,72,292,323,88,64,17,3,4,47,16,26,2,55,3,2,0,7,14,6,0.30136986,"kr3018075"
"Minho Kang 강민호","Lions (KBO)",36,61,196,217,46,35,8,1,2,13,28,16,3,27,2,3,0,12,0,0,0.23469388,"sa3012023"
"Jeong Choi 최정","Landers (KBO)",35,62,207,253,62,43,9,0,10,45,43,34,1,51,8,4,0,3,6,0,0.29951691,"sa3012034"
"Euiji Yang 양의지","Dinos (KBO)",35,63,210,250,52,32,11,0,9,27,36,29,4,28,8,3,0,9,1,0,0.24761905,"sa3012037"
"Ah-seop Son 손아섭","Dinos (KBO)",34,71,281,314,89,62,21,2,4,33,24,26,1,40,2,5,0,0,4,3,0.31672598,"sa3012050"
"Junwoo Jeon 전준우","Giants (KBO)",36,55,218,238,71,50,15,1,5,36,37,14,1,36,1,5,0,7,3,3,0.32568807,"sa3012061"
"Kyoung-min Hur 허경민","Bears (KBO)",31,56,199,232,61,45,14,0,2,31,35,19,0,19,7,5,2,6,6,1,0.30653266,"sa3012064"
